,Fuel,Driven,Automatic,Owner,Location,Price,Brand,Years
304,Diesel,25000.0,Manual,1,DL,775000,Maruti,5
305,Diesel,127346.0,Manual,2,KR,428000,Hyundai,10
306,Petrol,20000.0,Manual,1,GU,250000,Datsun,8
307,Diesel,98000.0,Automatic,1,MH,3300000,Mercedes,6
308,Petrol,5000.0,Automatic,1,MH,4900000,Bmw,2
309,Petrol,74000.0,Automatic,2,KR,555000,Honda,10
310,Petrol,55000.0,Manual,1,MH,264999,Hyundai,9
311,Diesel,82000.0,Automatic,1,KR,1525000,Hyundai,7
312,Petrol,70000.0,Automatic,3,TN,155000,Hyundai,16
313,Diesel,90000.0,Manual,2,MH,475000,Toyota,10
314,Petrol,31000.0,Automatic,3,DL,6350000,Hummer,11
315,Diesel,75000.0,Manual,2,BI,140000,Tata,14
316,Diesel,76000.0,Manual,1,UK,285000,Nissan,10
317,Diesel,74000.0,Manual,1,UK,245000,Chevrolet,9
318,Diesel,100000.0,Manual,1,UK,650000,Maruti,9
319,Petrol,72000.0,Automatic,1,TN,387000,Honda,11
320,CNG & HYBRIDS,185000.0,Manual,1,TI,170000,Maruti,8
321,Diesel,102000.0,Manual,2,PJ,102000,Tata,17
322,Diesel,80000.0,Manual,1,,460000,Tata,3
323,Diesel,82000.0,Manual,3,PJ,390000,Maruti,9
324,Petrol,50000.0,Manual,3,WB,285000,Hindustan,32
325,Diesel,61258.0,Manual,1,MH,669000,Ford,6
326,Petrol,90000.0,Manual,3,MH,125000,Maruti,15
327,Petrol,70000.0,Manual,2,UP,275000,Hyundai,10
328,CNG & HYBRIDS,94000.0,Manual,3,MH,300000,Maruti,8
329,Petrol,120822.0,Manual,4,TN,135000,Maruti,14
330,Petrol,3300.0,Automatic,1,TN,1725000,MG,0
331,CNG & HYBRIDS,71500.0,Manual,2,HR,310000,Maruti,6
332,Petrol,46294.0,Manual,1,PJ,60000,Maruti,17
333,Diesel,148000.0,Manual,2,KR,550000,Renault,9
334,Petrol,78444.0,Manual,2,DL,249777,Maruti,11
335,Petrol,78456.0,Automatic,1,,50000,Maruti,14
336,Diesel,125000.0,Automatic,1,BI,570000,Mahindra,3
337,Petrol,60000.0,Manual,3,MH,25000,Maruti,24
338,Diesel,70000.0,Manual,1,TN,750000,Maruti,4
339,Petrol,46294.0,Manual,0,OD,60000,Maruti,15
340,Diesel,130000.0,Manual,3,MP,300000,Hyundai,12
341,Petrol,58444.0,Manual,1,DL,85555,Maruti,14
342,Petrol,61900.0,Manual,3,WB,235000,Maruti,10
343,Diesel,60000.0,Manual,1,MH,600000,Nissan,7
344,Diesel,50000.0,Automatic,1,PJ,4200000,Bmw,3
345,CNG,120000.0,Manual,1,MH,480000,Maruti,4
346,Petrol,50000.0,Automatic,2,HY,650000,Maruti,7
347,Petrol,65739.0,Manual,2,TN,250000,Hyundai,13
348,Diesel,80000.0,Manual,2,RJ,350000,Mahindra,11
349,Diesel,72000.0,Manual,3,UP,260000,Maruti,7
350,Petrol,67000.0,Manual,3,KE,105000,Chevrolet,12
351,Diesel,80000.0,Manual,1,TN,375000,Mahindra,13
352,LPG,150000.0,Automatic,2,UP,110000,Maruti,17
353,Petrol,26000.0,Manual,1,AS,580000,Maruti,4
354,Diesel,115000.0,Manual,1,MH,251000,Force,10
355,Diesel,110000.0,Manual,1,TN,850000,Mahindra,4
356,Petrol,20000.0,Manual,1,OD,575000,Maruti,4
357,Petrol,65000.0,Manual,1,DL,300000,Honda,12
358,Diesel,78000.0,Manual,2,RJ,360000,Hyundai,7
359,Diesel,72000.0,Manual,1,DL,840000,Mahindra,6
360,Diesel,144255.0,Manual,2,TN,695000,Mahindra,9
361,Diesel,92000.0,Manual,1,TN,1950000,Toyota,4
362,Petrol,51000.0,Manual,1,TN,350000,Maruti,4
363,CNG,120000.0,Manual,1,MH,480000,Maruti,4
364,Diesel,30000.0,Manual,2,TE,350000,Toyota,14
365,CNG & HYBRIDS,85000.0,Automatic,4,GU,145000,Maruti,11
366,Diesel,70000.0,Manual,1,KE,700000,Toyota,5
367,Diesel,64000.0,Manual,1,UP,525000,Maruti,8
368,CNG & HYBRIDS,93450.0,Manual,2,UP,110000,Hyundai,14
369,Petrol,96000.0,Manual,2,JH,100000,Maruti,15
370,Petrol,39810.0,Manual,1,HY,65000,Maruti,8
371,Diesel,150000.0,Manual,1,AP,600000,Maruti,4
372,Petrol,59000.0,Manual,1,UP,35100,Maruti,13
373,Petrol,60000.0,Manual,2,,70000,Maruti,21
374,Petrol,70000.0,Manual,3,UK,75000,Maruti,22
375,Diesel,120000.0,Manual,3,KE,485000,Toyota,7
376,Petrol,60000.0,Manual,1,UK,70000,Hyundai,18
377,Diesel,50507.0,Manual,2,BI,875000,Mahindra,6
378,Diesel,55000.0,Automatic,1,MH,2375000,Bmw,5
379,Petrol,7900.0,Automatic,1,JH,1075000,Maruti,2
380,Diesel,69000.0,Automatic,1,TN,1300000,Tata,5
381,CNG,160000.0,Manual,4,DL,95000,Hyundai,14
382,Diesel,70000.0,Manual,1,WB,290000,Hyundai,4
383,Diesel,140000.0,Manual,2,KE,455000,Toyota,8
384,Diesel,100000.0,Manual,3,KE,140000,Mahindra,26
385,Petrol,111000.0,Manual,2,PJ,82000,Maruti,16
386,Petrol,64000.0,Manual,2,KR,350000,Maruti,8
387,Petrol,38000.0,Manual,1,UP,150000,Maruti,11
388,Petrol,69000.0,Automatic,2,JH,155000,Ford,10
389,CNG & HYBRIDS,13.0,Automatic,1,UP,155000,Toyota,16
390,Diesel,76000.0,Manual,0,KE,470000,Honda,5
391,Petrol,2000.0,Manual,1,MH,530000,Maruti,1
392,Diesel,115000.0,Automatic,1,TN,1500000,Bmw,12
393,Diesel,175000.0,Automatic,1,KR,1675000,Audi,10
394,Diesel,120375.0,Manual,2,TN,485000,Mahindra,14
395,Petrol,84060.0,Manual,1,KE,515000,Hyundai,7
396,Diesel,98000.0,Manual,1,GU,1800000,Toyota,4
397,Petrol,6500.0,Manual,1,KE,895000,Maruti,1
398,CNG,90000.0,Manual,1,MH,725000,Maruti,4
399,Petrol,70000.0,Manual,1,KR,100000,Hyundai,16
400,Diesel,122000.0,Manual,2,MH,775000,Toyota,12
401,Petrol,62000.0,Manual,2,TN,290000,Volkswagen,12
402,Diesel,53000.0,Automatic,2,MH,2048000,Mercedes,5
403,Petrol,62000.0,Manual,3,KE,305000,Maruti,9
404,Petrol,72000.0,Manual,1,UP,295000,Maruti,7
405,Petrol,90000.0,Manual,3,AP,35000,Maruti,17
406,Petrol,56000.0,Manual,1,DL,250000,Hyundai,10
407,CNG & HYBRIDS,28000.0,Automatic,1,MH,100000,Chevrolet,10
408,Diesel,128000.0,Manual,2,KE,565000,Honda,7
409,Diesel,96000.0,Manual,3,TN,139999,Mahindra,18
410,Diesel,83000.0,Manual,1,PJ,320000,Maruti,9
411,Diesel,55000.0,Manual,1,BI,625000,Toyota,10
412,Diesel,75000.0,Automatic,1,UP,119000,Maruti,11
413,Diesel,103000.0,Manual,1,KR,525000,Hyundai,9
414,Petrol,85000.0,Manual,1,DL,150000,Honda,14
415,Diesel,70000.0,Manual,2,UP,420000,Hyundai,4
416,Petrol,70000.0,Manual,3,PJ,145000,Maruti,15
417,Diesel,84000.0,Automatic,3,JH,531000,Maruti,7
418,Diesel,7000.0,Automatic,1,MH,1350000,Mahindra,1
419,CNG & HYBRIDS,62000.0,Manual,2,GU,525000,Maruti,4
420,Petrol,80000.0,Manual,2,KE,215000,Maruti,8
421,CNG & HYBRIDS,312000.0,Manual,2,GU,200000,Toyota,16
422,Diesel,130000.0,Manual,3,KE,175000,Ford,13
423,Diesel,120100.0,Manual,3,MH,195000,Mahindra,18
424,Petrol,165000.0,Manual,4,HR,180000,Maruti,15
425,Diesel,62031.0,Automatic,1,JH,115000,Mahindra,9
426,Diesel,53000.0,Manual,1,BI,725000,Toyota,8
427,Petrol,48000.0,Manual,1,TN,375000,Maruti,3
428,Petrol,70000.0,Manual,1,TN,275000,Hyundai,13
429,Petrol,20500.0,Automatic,1,UP,1093000,Hyundai,3
430,Diesel,78000.0,Automatic,1,GU,1375000,Volvo,8
431,Diesel,40000.0,Manual,2,DL,450000,Ford,9
